Event.ID,Species.ID,Species_ID_gbif,Class_gbif,Family_gbif,Movement.type,Movement.sub.type,Movement.Measure,Value,Units,Statistic,Variance,Variance_type,Grouping.level,Sampling.method,New.Sampling.Method,Aggregation.level,N,Speed.continuous..y.n.,Temporal.scale.interval,Inference.method,Movement.Mode,Body.mass,Body.mass.Units,Body.mass.measured..y.n.,Sex,Lifestage,Diet,Study.type,MetaRef,Reference,Reference.full,Reference.DOI,Body.Mass.Ref,Body.mass.source,Movement.Mode.Ref,Diet.Ref,Comments,Method_comments,Location,Lat,Long
1002,Barbus barbus,Barbus barbus,NA,Cyprinidae,Dispersal,NA,Distance,257.73,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,7,NA,NA,NA,Swimming,12000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Penczak 2006,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Pilica River (Exp1),51.78,21.17
1003,Barbus barbus,Barbus barbus,NA,Cyprinidae,Dispersal,NA,Distance,1460.65,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,3122,NA,NA,NA,Swimming,12000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Hunt & Jones 1974,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,River Severn,51.98,-2.18
1004,Barbus barbus,Barbus barbus,NA,Cyprinidae,Dispersal,NA,Distance,7696.92,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,19,NA,NA,NA,Swimming,12000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Lucas & Batley 1996,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,River Nidd North Yorkshire,54.04,-1.5
1005,Barbus barbus,Barbus barbus,NA,Cyprinidae,Dispersal,NA,Distance,8483.64,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,12,NA,NA,NA,Swimming,12000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Lucas & Batley 1996,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,River Nidd North Yorkshire,54.04,-1.5
1006,Barbus barbus,Barbus barbus,NA,Cyprinidae,Dispersal,NA,Distance,0,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,701,NA,NA,NA,Swimming,12000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Pe?áz et al. 2002,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,River Jihlava,49.1,16.27
1010,Brycon orbignyanus,Brycon orbignyanus,NA,Bryconidae,Dispersal,NA,Distance,7500,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,196,NA,NA,NA,Swimming,6000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Makrakis et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Bryconidae,NA,NA,NA,Parana River,-25.41,-54.59
1014,Catostomus commersonii,Catostomus commersonii,NA,Catostomidae,Dispersal,NA,Distance,65.15,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,12,NA,NA,NA,Swimming,2940,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Brown et al. 2001,NA,NA,NA,FishBase,Inferred from Family:  Catostomidae,NA,NA,NA,Grand River Ontario,43.68,-80.43
1015,Catostomus commersonii,Catostomus commersonii,NA,Catostomidae,Dispersal,NA,Distance,277.64,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,8,NA,NA,NA,Swimming,2940,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Brown et al. 2001,NA,NA,NA,FishBase,Inferred from Family:  Catostomidae,NA,NA,NA,Grand River Ontario,43.68,-80.43
1016,Catostomus commersonii,Catostomus commersonii,NA,Catostomidae,Dispersal,NA,Distance,1180,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,12,NA,NA,NA,Swimming,2940,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Doherty et al. 2010,NA,NA,NA,FishBase,Inferred from Family:  Catostomidae,NA,NA,NA,Saint John River,46.38,-67.56
1021,Chan argus,NA,NA,NA,Dispersal,NA,Distance,409,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,49,NA,NA,NA,Swimming,25.33,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Lapointe et al. 2013,NA,NA,NA,Wilman et al 2014,NA,NA,NA,NA,Potamac River,38.31,-76.98
1022,Chan argus,NA,NA,NA,Dispersal,NA,Distance,454,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,49,NA,NA,NA,Swimming,25.33,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Lapointe et al. 2013,NA,NA,NA,Wilman et al 2014,NA,NA,NA,NA,Potamac River,38.31,-76.98
1023,Chan argus,NA,NA,NA,Dispersal,NA,Distance,562,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,49,NA,NA,NA,Swimming,25.33,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Lapointe et al. 2013,NA,NA,NA,Wilman et al 2014,NA,NA,NA,NA,Potamac River,38.31,-76.98
1024,Chan argus,NA,NA,NA,Dispersal,NA,Distance,630,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,49,NA,NA,NA,Swimming,25.33,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Lapointe et al. 2013,NA,NA,NA,Wilman et al 2014,NA,NA,NA,NA,Potamac River,38.31,-76.98
1036,Colossoma macropomum,Colossoma macropomum,NA,Serrasalmidae,Dispersal,NA,Distance,0,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,24,NA,NA,NA,Swimming,40000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Anderson et al. 2011,NA,NA,NA,FishBase,Inferred from Family:  Serrasalmidae,NA,NA,NA,Pacaya-Samiria National Reserve,-5.21,-74.3
1070,Ctenopharyngodon idella,Ctenopharyngodon idella,NA,Cyprinidae,Dispersal,NA,Distance,0,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,22,NA,NA,NA,Swimming,45000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Kirk et al. 2001,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Cooper River South Carolina,33.21,-79.97
1072,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,21.19,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 3),41.89,-88.3
1073,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,29.4,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,13,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Brown et al. 2001,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Grand River Ontario,43.68,-80.43
1074,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,42.38,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 1),41.92,-88.32
1075,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,140.75,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,15,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Crook 2004,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,The Broken River,-21.17,148.51
1076,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,149.84,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 3),41.89,-88.3
1077,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,157.41,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 3),41.89,-88.3
1078,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,204.71,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,8,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Brown et al. 2001,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Grand River Ontario,43.68,-80.43
1079,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,230.05,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 1),41.92,-88.32
1080,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,242.16,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 2),41.92,-88.31
1081,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,267.89,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 3),41.89,-88.3
1082,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,298.6,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,66,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Daniel et al. 2011,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Waikato River,-37.29,175.09
1083,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,345.08,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 2),41.92,-88.31
1084,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,345.08,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 2),41.92,-88.31
1085,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,367.5,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,10,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Jones & Stuart 2007,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Murray River,-35.83,145.05
1086,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,526.7,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 1),41.92,-88.32
1087,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,585.73,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 1),41.92,-88.32
1088,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,588.76,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,39,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2010,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Fox River (Reach 2),41.92,-88.31
1089,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,2754.44,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,65,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Daniel et al. 2011,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Waikato River,-37.29,175.09
1090,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,4500,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,1265,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Osborne et al. 2009,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Lower Waikato River,-37.45,175.15
1091,Cyprinus carpio,Cyprinus carpio,NA,Cyprinidae,Dispersal,NA,Distance,21356.75,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,115,NA,NA,NA,Swimming,40090,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Funk 1957,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Missouri Streams,38.67,-92.69
1092,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,37.67,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,101,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Mann 1980,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Frome,50.82,-2.58
1093,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,65.3,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,40,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Vehanen et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Kajaaninjoki,64.24,27.69
1094,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,78.74,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,19,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Penczak 2006,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Pilica River (Exp1),51.78,21.17
1095,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,134.39,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,10,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Koed et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Gudena Denmark,56.23,9.76
1096,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,151.66,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,10,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Koed et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Gudena Denmark,56.23,9.76
1097,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,155.5,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,40,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Vehanen et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Kajaaninjoki,64.24,27.69
1098,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,303,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,40,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Vehanen et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Kajaaninjoki,64.24,27.69
1099,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,452.7,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,40,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Vehanen et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Kajaaninjoki,64.24,27.69
1100,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,638.29,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,10,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Koed et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Gudena Denmark,56.23,9.76
1101,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,662.3,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,40,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Vehanen et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Kajaaninjoki,64.24,27.69
1102,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,1165.6,m,Mean,NA,NA,NA,Radio-tracking,NA,Individual,1,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Donnelly et al. 1998,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,19Th Level Of The Grand Canal,53.28,-6.86
1103,Esox lucius,Esox lucius,NA,Esocidae,Dispersal,NA,Distance,3474.3,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,15,NA,NA,NA,Swimming,28350,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Pauwels et al. 2014,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,River Yser,51.02,2.85
1104,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,259.86,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,8,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 1),46.16,-94.37
1105,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,925.57,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,8,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 1),46.16,-94.37
1106,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,1060,m,Mean,NA,NA,NA,Radio-tracking,NA,Individual,1,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 2),45.93,-94.39
1107,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,1315,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,4,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 3),45.78,-94.28
1108,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,1334.14,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,8,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 1),46.16,-94.37
1109,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,1552,m,Mean,NA,NA,NA,Radio-tracking,NA,Individual,1,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 2),45.93,-94.39
1110,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,1651.25,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,4,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 3),45.78,-94.28
1111,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,1866,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,8,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 1),46.16,-94.37
1112,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,2215,m,Mean,NA,NA,NA,Radio-tracking,NA,Individual,1,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 2),45.93,-94.39
1113,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,2747,m,Mean,NA,NA,NA,Radio-tracking,NA,Individual,1,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 2),45.93,-94.39
1114,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,3521,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,4,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 3),45.78,-94.28
1115,Esox masquinongy,Esox masquinongy,NA,Esocidae,Dispersal,NA,Distance,4177.75,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,4,NA,NA,NA,Swimming,31750,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Younk et al. 1996,NA,NA,NA,FishBase,Inferred from Family:  Esocidae,NA,NA,NA,Mississippi River (Section 3),45.78,-94.28
1146,Gobio gobio,Gobio gobio,NA,Cyprinidae,Dispersal,NA,Distance,276.73,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,627,NA,NA,NA,Swimming,220,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Stott 1967,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,River Mole,51.34,-0.42
1147,Gobio gobio,Gobio gobio,NA,Cyprinidae,Dispersal,NA,Distance,413.15,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,623,NA,NA,NA,Swimming,220,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Stott 1967,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,River Mole,51.34,-0.42
1148,Hemisorubim platyrhynchos,Hemisorubim platyrhynchos,NA,Pimelodidae,Dispersal,NA,Distance,132300,m,Mean,NA,NA,NA,Mark-Recapture,NA,Single study,912,NA,NA,NA,Swimming,2670,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Makrakis et al. 2012,NA,NA,NA,FishBase,Inferred from Family:  Pimelodidae,NA,NA,NA,Parana River,-25.41,-54.59
1149,Hucho taimen,Hucho taimen,NA,Salmonidae,Dispersal,NA,Distance,2700,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,46,NA,NA,NA,Swimming,105000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Gilroy et al. 2010,NA,NA,NA,FishBase,Inferred from Family:  Salmonidae,NA,NA,NA,Uur Upper Eg Lower Eg,50.29,101.94
1150,Hydrocynus vittatus,Hydrocynus vittatus,NA,Alestidae,Dispersal,NA,Distance,1447,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,23,NA,NA,NA,Swimming,27980,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Økland et al. 2005,NA,NA,NA,FishBase,Inferred from Family:  Alestidae,NA,NA,NA,Upper Zambezi River,-14.2,27.38
1151,Hypentelium nigricans,Hypentelium nigricans,NA,Catostomidae,Dispersal,NA,Distance,23,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,44,NA,NA,NA,Swimming,480,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Matheney & Rabeni 1995,NA,NA,NA,FishBase,Inferred from Family:  Catostomidae,NA,NA,NA,Current River,37.19,-91.19
1152,Hypentelium nigricans,Hypentelium nigricans,NA,Catostomidae,Dispersal,NA,Distance,70,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,44,NA,NA,NA,Swimming,480,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Matheney & Rabeni 1995,NA,NA,NA,FishBase,Inferred from Family:  Catostomidae,NA,NA,NA,Current River,37.19,-91.19
1153,Hypophthalmichthys nobilis,Hypophthalmichthys nobilis,NA,Cyprinidae,Dispersal,NA,Distance,4130,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,42,NA,NA,NA,Swimming,40000,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Peters et al. 2006,NA,NA,NA,FishBase,Inferred from Family:  Cyprinidae,NA,NA,NA,Illinois River,40.3,-90.07
1154,Ictalurus punctatus,Ictalurus punctatus,NA,Ictaluridae,Dispersal,NA,Distance,91.35,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,31,NA,NA,NA,Swimming,26300,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2011,NA,NA,NA,FishBase,Inferred from Family:  Ictaluridae,NA,NA,NA,Fox River,42.24,-88.5
1155,Ictalurus punctatus,Ictalurus punctatus,NA,Ictaluridae,Dispersal,NA,Distance,109.76,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,31,NA,NA,NA,Swimming,26300,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2011,NA,NA,NA,FishBase,Inferred from Family:  Ictaluridae,NA,NA,NA,Fox River,42.24,-88.5
1156,Ictalurus punctatus,Ictalurus punctatus,NA,Ictaluridae,Dispersal,NA,Distance,252.42,m,Mean,NA,NA,NA,Radio-tracking,NA,Single study,31,NA,NA,NA,Swimming,26300,g,n,NA,NA,NA,Metastudy,Comte Olden fishery,Butler & Wahl 2011,NA,NA,NA,FishBase,Inferred from Family:  Ictaluridae,NA,NA,NA,Fox River,42.24,-88.5
