Event.ID,Species.ID,Species_ID_gbif,Class_gbif,Family_gbif,Movement.type,Movement.sub.type,Movement.Measure,Value,Units,Statistic,Variance,Variance_type,Grouping.level,Sampling.method,New.Sampling.Method,Aggregation.level,N,Speed.continuous..y.n.,Temporal.scale.interval,Inference.method,Movement.Mode,Movement.Medium,Body.mass,Body.mass.Units,Body.mass.measured..y.n.,Sex,Lifestage,Diet,Location,Lat,Long,Study.type,MetaRef,Reference,Reference.code,Reference.full,Reference.DOI,Body.Mass.Ref,Body.mass.source,Movement.Mode.Ref,Diet.Ref,Comments_from_Ref,Method_comments,Jana_comments,"Class_gbif == ""Aves""",is.na(Class_gbif),Source
256,Vulpes rueppellii,Vulpes rueppellii,Mammalia,Canidae,Dispersal,Natal,Distance,32000,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,3249.97,g,n,Unspecified,,,,,,Metastudy,Whitmee & Orme. 2013,Kamler et al. 2000,NA,"Kamler, J. F., P. S. Gipson, et al. (2000). ""Dispersal characteristics of young bobcats from northeastern Kansas."" 45 4(543-546).",https://doi.org/10.2307/3672608,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
257,Castor canadensis,Castor canadensis,Mammalia,Castoridae,Dispersal,Natal,Distance,17702.739999999998,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Mixed,NA,21820,g,n,Both,,,,,,Metastudy,Whitmee & Orme. 2013,Kamler et al. 2000,NA,"Kamler, J. F., P. S. Gipson, et al. (2000). ""Dispersal characteristics of young bobcats from northeastern Kansas."" 45 4(543-546).",https://doi.org/10.2307/3672608,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
258,Castor canadensis,Castor canadensis,Mammalia,Castoridae,Dispersal,Natal,Distance,9012.303999999998,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Mixed,NA,21820,g,n,Both,,,,,,Metastudy,Whitmee & Orme. 2013,Keane. 1990,NA,"Keane, B. 1990. Dispersal and inbreeding avoidance in the white-footed mouse, Peromyscus  leucopus. Anim. Behav., 40: 143-152. ",https://doi.org/10.1016/S0003-3472(05)80674-8,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
259,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,66000,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Keane. 1990,NA,"Keane, B. 1990. Dispersal and inbreeding avoidance in the white-footed mouse, Peromyscus  leucopus. Anim. Behav., 40: 143-152. ",https://doi.org/10.1016/S0003-3472(05)80674-8,,Wilman et al 2014,Dyer et al. 2023,,,NA,NA,FALSE,FALSE,NA
260,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,241000,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Keane. 1990,NA,"Keane, B. 1990. Dispersal and inbreeding avoidance in the white-footed mouse, Peromyscus  leucopus. Anim. Behav., 40: 143-152. ",https://doi.org/10.1016/S0003-3472(05)80674-8,,Wilman et al 2014,Dyer et al. 2023,,,NA,NA,FALSE,FALSE,NA
261,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,56500,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Keane. 1990,NA,"Keane, B. 1990. Dispersal and inbreeding avoidance in the white-footed mouse, Peromyscus  leucopus. Anim. Behav., 40: 143-152. ",https://doi.org/10.1016/S0003-3472(05)80674-8,,Wilman et al 2014,Dyer et al. 2023,,,NA,NA,FALSE,FALSE,NA
262,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,123000,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Knick. 1990,NA,"Knick, S. T. 1990. Ecology of bobcats relative to exploitation and a prey decline in southeastern  Idaho. Wildl. Monogr., 108: 3-42",https://www.jstor.org/stable/3830671,,Wilman et al 2014,Dyer et al. 2023,,,NA,NA,FALSE,FALSE,NA
263,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,56500,m,Median,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Knick. 1990,NA,"Knick, S. T. 1990. Ecology of bobcats relative to exploitation and a prey decline in southeastern  Idaho. Wildl. Monogr., 108: 3-42",https://www.jstor.org/stable/3830671,,Wilman et al 2014,Dyer et al. 2023,,,NA,NA,FALSE,FALSE,NA
264,Equus caballus,Equus caballus,Mammalia,Equidae,Dispersal,Natal,Distance,1990,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,250000,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Kojola et al. 2006,NA,"Kojola, I., Aspi, J., Hakala, A., Heikkinen, S., Ilmoni, C.,Ronkainen, S. 2006. Dispersal in an  expanding wolf population in Finland. J. Mammal., 87: 281-286.",https://doi.org/10.1644/05-MAMM-A-061R2.1,,Wilman et al 2014,Inferred from Class:  Mammalia,,,NA,NA,FALSE,FALSE,NA
265,Equus caballus,Equus caballus,Mammalia,Equidae,Dispersal,Natal,Distance,848,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,250000,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Kojola et al. 2006,NA,"Kojola, I., Aspi, J., Hakala, A., Heikkinen, S., Ilmoni, C.,Ronkainen, S. 2006. Dispersal in an  expanding wolf population in Finland. J. Mammal., 87: 281-286.",https://doi.org/10.1644/05-MAMM-A-061R2.1,,Wilman et al 2014,Inferred from Class:  Mammalia,,,NA,NA,FALSE,FALSE,NA
266,Equus caballus,Equus caballus,Mammalia,Equidae,Dispersal,Natal,Distance,745,m,Median,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,250000,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Kojola et al. 2006,NA,"Kojola, I., Aspi, J., Hakala, A., Heikkinen, S., Ilmoni, C.,Ronkainen, S. 2006. Dispersal in an  expanding wolf population in Finland. J. Mammal., 87: 281-286.",https://doi.org/10.1644/05-MAMM-A-061R2.1,,Wilman et al 2014,Inferred from Class:  Mammalia,,,NA,NA,FALSE,FALSE,NA
267,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,14000,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Kojola et al. 2006,NA,"Kojola, I., Aspi, J., Hakala, A., Heikkinen, S., Ilmoni, C.,Ronkainen, S. 2006. Dispersal in an  expanding wolf population in Finland. J. Mammal., 87: 281-286.",https://doi.org/10.1644/05-MAMM-A-061R2.1,,Wilman et al 2014,Dyer et al. 2023,,,NA,NA,FALSE,FALSE,NA
268,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,274000,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Koopman et al. 2000,NA,"Koopman, M. E., B. L. Cypher, et al. (2000). ""Dispersal patterns of San Joaquin kit foxes (Vulpes macrotis mutica)."" Journal of Mammalogy. 81(1): 213-222.",https://academic.oup.com/jmammal/article/81/1/213/2372832,,Wilman et al 2014,Dyer et al. 2023,,,"Live trapping, radiocollaring, and telemetry",NA,FALSE,FALSE,NA
269,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,11500,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Koopman et al. 2000,NA,"Koopman, M. E., B. L. Cypher, et al. (2000). ""Dispersal patterns of San Joaquin kit foxes (Vulpes macrotis mutica)."" Journal of Mammalogy. 81(1): 213-222.",https://academic.oup.com/jmammal/article/81/1/213/2372832,,Wilman et al 2014,Dyer et al. 2023,,,NA,NA,FALSE,FALSE,NA
270,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,175670,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Koprowski et al. 1994  'Sciurus carolinensis',NA,"Koprowski, J. L. (1994). ""Sciurus carolinensis."" Mammalian Species 480: 1-9.",https://doi.org/10.2307/3504224,,Wilman et al 2014,Dyer et al. 2023,,,Method isn't clear (assuming same as Koprowski 1996),NA,FALSE,FALSE,NA
271,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,11500,m,Median,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Koprowski et al. 1994  'Sciurus niger',NA,"Koprowski, J. L. (1994). ""Sciurus niger."" Mammalian Species 479: 1-9.",https://www.science.smith.edu/departments/Biology/VHAYSSEN/msi/pdf/i0076-3519-479-01-0001.pdf,,Wilman et al 2014,Dyer et al. 2023,,,Method isn't clear,NA,FALSE,FALSE,NA
272,Puma concolor,Puma concolor,Mammalia,Felidae,Dispersal,Natal,Distance,193000,m,Median,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,51600.04,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Koprowski et al. 1996,NA,"Koprowski, J. L. (1996). ""Natal philopatry, communal nesting, and kinship in fox squirrels and gray squirrels."" Journal of Mammalogy. 77(4): 1006-1016.",https://doi.org/10.2307/1382781,,Wilman et al 2014,Dyer et al. 2023,,,Trapped and identified individuals from pelage,NA,FALSE,FALSE,NA
273,Rupicapra rupicapra,Rupicapra rupicapra,Mammalia,Bovidae,Dispersal,Natal,Distance,17000,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,26100,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Koprowski et al. 1996,NA,"Koprowski, J. L. (1996). ""Natal philopatry, communal nesting, and kinship in fox squirrels and gray squirrels."" Journal of Mammalogy. 77(4): 1006-1016.",https://doi.org/10.2307/1382781,,Wilman et al 2014,Tamburello et al. 2015,,,NA,NA,FALSE,FALSE,NA
274,Rupicapra pyrenaica,Rupicapra pyrenaica,Mammalia,Bovidae,Dispersal,Natal,Distance,32000,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,30000,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Koprowski et al. 1996,NA,"Koprowski, J. L. (1996). ""Natal philopatry, communal nesting, and kinship in fox squirrels and gray squirrels."" Journal of Mammalogy. 77(4): 1006-1016.",https://doi.org/10.2307/1382781,,Wilman et al 2014,Hirt 2017b,,,NA,NA,FALSE,FALSE,NA
275,Rupicapra pyrenaica,Rupicapra pyrenaica,Mammalia,Bovidae,Dispersal,Natal,Distance,10600,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,30000,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Kunkele & vonHolst. 1996,NA,"Kunkele, J. and D. vonHolst (1996). ""Natal dispersal in the European wild rabbit."" Animal behaviour 51: 1047-1059",https://doi.org/10.1006/anbe.1996.0106,,Wilman et al 2014,Hirt 2017b,,,Tagged and observed,NA,FALSE,FALSE,NA
276,Rupicapra rupicapra,Rupicapra rupicapra,Mammalia,Bovidae,Dispersal,Natal,Distance,5950,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,26100,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Kunkele & vonHolst. 1996,NA,"Kunkele, J. and D. vonHolst (1996). ""Natal dispersal in the European wild rabbit."" Animal behaviour 51: 1047-1059",https://doi.org/10.1006/anbe.1996.0106,,Wilman et al 2014,Tamburello et al. 2015,,,NA,NA,FALSE,FALSE,NA
277,Rupicapra pyrenaica,Rupicapra pyrenaica,Mammalia,Bovidae,Dispersal,Natal,Distance,6000,m,Median,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,30000,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Labonte et al. 1998,NA,"Labonte, J., J.-P. Ouellet, et al. (1998). ""Moose dispersal and its role in the maintenance of harvested populations."" The Journal of Wildlife Management. 62(1): 225-235.",https://doi.org/10.2307/3802282,,Wilman et al 2014,Hirt 2017b,,,Radiocollars,NA,FALSE,FALSE,NA
278,Rupicapra rupicapra,Rupicapra rupicapra,Mammalia,Bovidae,Dispersal,Natal,Distance,4100,m,Median,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,26100,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Labonte et al. 1998,NA,"Labonte, J., J.-P. Ouellet, et al. (1998). ""Moose dispersal and its role in the maintenance of harvested populations."" The Journal of Wildlife Management. 62(1): 225-235.",https://doi.org/10.2307/3802282,,Wilman et al 2014,Tamburello et al. 2015,,,NA,NA,FALSE,FALSE,NA
279,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,212600,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lackey et al. 1985,NA,"Lackey, J. A., D. G. Huckaby, et al. (1985). ""Peromyscus leucopus."" Mammalian Species 247: 1-10.",https://www.science.smith.edu/departments/Biology/VHAYSSEN/msi/pdf/i0076-3519-247-01-0001.pdf,,Wilman et al 2014,Tucker et al. 2022,,,Can't find methods,NA,FALSE,FALSE,NA
280,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,161000,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lackey et al. 1985,NA,"Lackey, J. A., D. G. Huckaby, et al. (1985). ""Peromyscus leucopus."" Mammalian Species 247: 1-10.",https://www.science.smith.edu/departments/Biology/VHAYSSEN/msi/pdf/i0076-3519-247-01-0001.pdf,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
281,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,56000,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lambin. 1994,NA,"Lambin, X. 1994. Natal philopatry, competition for resources, and inbreeding avoidance in  Townsend's voles (Microtus townsendii). Ecology, 75: 224-235. ",https://doi.org/10.2307/1939396,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
282,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,40600,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lambin. 1994,NA,"Lambin, X. 1994. Natal philopatry, competition for resources, and inbreeding avoidance in  Townsend's voles (Microtus townsendii). Ecology, 75: 224-235. ",https://doi.org/10.2307/1939396,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
283,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,35800,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lariviere & Seddon. 2001,NA,"Lariviere, S. and P. J. Seddon (2001). ""Vulpes rueppelli."" Mammalian Species 678: 1-5.",https://academic.oup.com/mspecies/article-pdf/doi/10.2307/0.678.1/8070645/678-1.pdf,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
284,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,31500,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lariviere & Seddon. 2001,NA,"Lariviere, S. and P. J. Seddon (2001). ""Vulpes rueppelli."" Mammalian Species 678: 1-5.",https://academic.oup.com/mspecies/article-pdf/doi/10.2307/0.678.1/8070645/678-1.pdf,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
285,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,22000,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Le Roux et al. 2008,NA,"Le Roux, A., M. I. Cherry, et al. (2008). ""The effects of population density and sociality on scent marking in the yellow mongoose."" Journal of Zoology. 275: 33-40.", https://doi.org/10.1111/j.1469-7998.2007.00404.x,,Wilman et al 2014,Tucker et al. 2022,,,Scent marking,NA,FALSE,FALSE,NA
286,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,7100,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Leege. 1968,NA,"Leege, T. A. 1968. Natural movements of beavers in southeastern Idaho. J. Wildlife Manage, 32:  973-976. ",https://doi.org/10.2307/3799579,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
287,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,3000,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Leege. 1968,NA,"Leege, T. A. 1968. Natural movements of beavers in southeastern Idaho. J. Wildlife Manage, 32:  973-976. ",https://doi.org/10.2307/3799579,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
288,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,4400,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lindzay et al. 1994,NA,"Lindzey, F. G., W. D. Van Sickle, et al. (1994). ""Cougar population dynamics in southern Utah."" The Journal of Wildlife Management. 58(4): 619-624.",https://doi.org/10.2307/3809674,,Wilman et al 2014,Tucker et al. 2022,,,"Trapping, marking (ear tattoos), radiocollars and visual observations",NA,FALSE,FALSE,NA
289,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,6400,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lindzay et al. 1994,NA,"Lindzey, F. G., W. D. Van Sickle, et al. (1994). ""Cougar population dynamics in southern Utah."" The Journal of Wildlife Management. 58(4): 619-624.",https://doi.org/10.2307/3809674,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
290,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,7000,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lindzay et al. 1994,NA,"Lindzey, F. G., W. D. Van Sickle, et al. (1994). ""Cougar population dynamics in southern Utah."" The Journal of Wildlife Management. 58(4): 619-624.",https://doi.org/10.2307/3809674,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
291,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,8000,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lindzay et al. 1994,NA,"Lindzey, F. G., W. D. Van Sickle, et al. (1994). ""Cougar population dynamics in southern Utah."" The Journal of Wildlife Management. 58(4): 619-624.",https://doi.org/10.2307/3809674,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
292,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,8500,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Lindzay et al. 1994,NA,"Lindzey, F. G., W. D. Van Sickle, et al. (1994). ""Cougar population dynamics in southern Utah."" The Journal of Wildlife Management. 58(4): 619-624.",https://doi.org/10.2307/3809674,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
293,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,10000,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Linklater & Cameron. 2009,NA,"Linklater W.L. & Cameron E.Z. (2009) Social dispersal but with philopatry reveals incest avoidance in a polygynous ungulate. Animal Behaviour, 77, 1085-1093",https://doi.org/10.1016/j.anbehav.2009.01.017,,Wilman et al 2014,Tucker et al. 2022,,,Individuals were identified by a unique combination of two freeze brands on their right rump or from variation in their colour markings. They used line transects and markÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“resight events that surveyed the entire study area,NA,FALSE,FALSE,NA
294,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,18500,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Linklater & Cameron. 2009,NA,"Linklater W.L. & Cameron E.Z. (2009) Social dispersal but with philopatry reveals incest avoidance in a polygynous ungulate. Animal Behaviour, 77, 1085-1093",https://doi.org/10.1016/j.anbehav.2009.01.017,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
295,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,19000,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Linklater & Cameron. 2009,NA,"Linklater W.L. & Cameron E.Z. (2009) Social dispersal but with philopatry reveals incest avoidance in a polygynous ungulate. Animal Behaviour, 77, 1085-1093",https://doi.org/10.1016/j.anbehav.2009.01.017,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
296,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,36000,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Logan et al.  1986,NA,"Logan, K. A., Irwin, L. L.,Skinner, R. 1986. Characteristics of a hunted mountain lion population in  Wyoming. J. Wildlife Manage: 648-654. ",https://doi.org/10.2307/3800975,,Wilman et al 2014,Tucker et al. 2022,,,"Mark-capture, snow tracking, radiotelemetry and hunting",NA,FALSE,FALSE,NA
297,Odocoileus virginianus,Odocoileus virginianus,Mammalia,Cervidae,Dispersal,Natal,Distance,38000,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,55508.56,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Logan et al.  1986,NA,"Logan, K. A., Irwin, L. L.,Skinner, R. 1986. Characteristics of a hunted mountain lion population in  Wyoming. J. Wildlife Manage: 648-654. ",https://doi.org/10.2307/3800975,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
298,Cerdocyon thous,Cerdocyon thous,Mammalia,Canidae,Dispersal,Natal,Distance,2900,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,5239.98,g,n,Both,,,,,,Metastudy,Whitmee & Orme. 2013,Logan et al.  1986,NA,"Logan, K. A., Irwin, L. L.,Skinner, R. 1986. Characteristics of a hunted mountain lion population in  Wyoming. J. Wildlife Manage: 648-654. ",https://doi.org/10.2307/3800975,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
299,Cerdocyon thous,Cerdocyon thous,Mammalia,Canidae,Dispersal,Natal,Distance,2370,m,Mean,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,5239.98,g,n,Both,,,,,,Metastudy,Whitmee & Orme. 2013,Logan et al.  1986,NA,"Logan, K. A., Irwin, L. L.,Skinner, R. 1986. Characteristics of a hunted mountain lion population in  Wyoming. J. Wildlife Manage: 648-654. ",https://doi.org/10.2307/3800975,,Wilman et al 2014,Tucker et al. 2022,,,NA,NA,FALSE,FALSE,NA
300,Spermophilus tridecemlineatus,Spermophilus tridecemlineatus,Mammalia,Sciuridae,Dispersal,Natal,Distance,762,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,131.67,g,n,Female,,,,,,Metastudy,Whitmee & Orme. 2013,Logan et al.  1986,NA,"Logan, K. A., Irwin, L. L.,Skinner, R. 1986. Characteristics of a hunted mountain lion population in  Wyoming. J. Wildlife Manage: 648-654. ",https://doi.org/10.2307/3800975,,Wilman et al 2014,Inferred from Class:  Mammalia,,,NA,NA,FALSE,FALSE,NA
301,Spermophilus tridecemlineatus,Spermophilus tridecemlineatus,Mammalia,Sciuridae,Dispersal,Natal,Distance,670.56,m,Maximum,NA,,NA,Experimental/observational study,Unknown,Single study,NA,,NA,NA,Running,Terrestrial,131.67,g,n,Male,,,,,,Metastudy,Whitmee & Orme. 2013,Logan et al.  1986,NA,"Logan, K. A., Irwin, L. L.,Skinner, R. 1986. Characteristics of a hunted mountain lion population in  Wyoming. J. Wildlife Manage: 648-654. ",https://doi.org/10.2307/3800975,,Wilman et al 2014,Inferred from Class:  Mammalia,,,NA,NA,FALSE,FALSE,NA
